"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
"878422","47972","8832","PERSEUS-SOROS BIOPHARMACEUTICAL INVESTORS, LP","805-6565724977","Delaware","United States","N","Y"
"878422","47972","8831","PERSEUS-SOROS BIOPHARMACEUTICAL FUND INVESTOR, LTD.","805-6875943865","","Cayman Islands","N","Y"
"898173","55919","11097","CKC CREDIT OPPORTUNITY FUND LP","805-9274176912","Delaware","United States","Y","N"
"890211","39015","7499","ARMORY OFFSHORE FUND LTD.","805-1766772417","","Cayman Islands","Y","N"
"890211","39015","7498","ARMORY FUND LP","805-4939912809","Delaware","United States","Y","N"
"899348","22029","7547","FIRELAKE STRATEGIC TECHNOLOGY, LTD","805-1745022324","","Cayman Islands","Y","N"
"899544","22029","7547","FIRELAKE STRATEGIC TECHNOLOGY, LTD","805-1745022324","","Cayman Islands","Y","N"
"881388","68941","14103","BESSEMER VENTURE ASSOCIATES IX L.P.","805-9986694629","","Cayman Islands","Y","N"
"881388","16485","5068","BESSEMER VENTURE ASSOCIATES VII GLOBAL LTD. -- CLASS BVP VI","805-7658064607","","Cayman Islands","Y","N"
"881388","16497","4999","BESSEMER VENTURE ASSOCIATES VII GLOBAL LTD. -- CLASS BVP V","805-4101767300","","Cayman Islands","Y","N"
"881388","16491","4966","BESSEMER VENTURE ASSOCIATES VII GLOBAL LTD. -- CLASS BVP IV","805-1785481122","","Cayman Islands","Y","N"
"881388","16519","3350","BESSEMER VENTURE ASSOCIATES VII GLOBAL LTD. -- CLASS BVP VIII","805-2264356318","","Cayman Islands","Y","N"
"881388","16516","3348","BESSEMER VENTURE ASSOCIATES VII GLOBAL LTD. -- CLASS BVP VII","805-5712991180","","Cayman Islands","Y","N"
"881388","16516","3310","BESSEMER VENTURE ASSOCIATES VII L.P.","805-9699715677","","Cayman Islands","Y","N"
"881388","16497","3306","BESSEMER VENTURE ASSOCIATES V LLC -- SERIES BVP V","805-3806480289","Delaware","United States","Y","N"
"881388","16491","3302","BESSEMER VENTURE ASSOCIATES LLC","805-8465764960","Delaware","United States","Y","N"
"881388","16519","3311","BESSEMER VENTURE ASSOCIATES VIII L.P.","805-6892739692","","Cayman Islands","Y","N"
"881388","16485","3301","BESSEMER VENTURE ASSOCIATES V LLC -- SERIES BVP VI","805-5439005560","Delaware","United States","Y","N"
"871073","35796","6628","HERMITAGE GLOBAL PARTNERS LP","805-7175716165","Delaware","United States","N","Y"
"871073","35796","6627","HERMITAGE GLOBAL","805-9653657534","","Cayman Islands","N","Y"
"894673","17361","9124","INVESCO ASIA REAL ESTATE FEEDER FUND I, LTD.","805-2525538556","","Cayman Islands","Y","Y"
"893015","58056","11732","LIM OPPORTUNISTIC CREDIT FUND","805-7693821120","","Cayman Islands","N","Y"
"893015","1930","1139","LIM ASIA SPECIAL SITUATIONS FUND LIMITED","805-9080676933","","British Virgin Islands","N","Y"
"872929","51501","9893","SOUTHERN CAPITAL FUND III L.P.","805-6788104932","","Cayman Islands","N","Y"
"868095","14033","3650","J382","805-6102525716","","Cayman Islands","Y","Y"
"868095","14033","2985","J383","805-2044322605","","Cayman Islands","Y","Y"
"898634","36051","7026","ABSOLUTE PARTNERS SPECIAL OPPORTUNITIES ONSHORE FUND LIMITED","805-2696222232","","Cayman Islands","N","Y"
"898634","36051","6701","ABSOLUTE PARTNERS SPECIAL OPPORTUNITIES FUND LIMITED","805-9706138457","","Cayman Islands","N","Y"
"898634","17218","3417","ABSOLUTE PARTNERS FUND LIMITED","805-1171921119","","Cayman Islands","N","Y"
"899890","65231","13317","CAMELOT ACQUISITIONS: SECONDARY OPPORTUNITIES OFFSHORE, L.P.","805-9901907348","","Cayman Islands","Y","N"
"889737","69927","14310","HCPE II, LP","805-2533011154","","Cayman Islands","N","Y"
"889737","69929","14311","HAHN & COMPANY II L.P.","805-4419130468","","Cayman Islands","N","Y"
"889737","69896","14299","HCPE INVESTMENT, L.P.","805-4036120988","","Cayman Islands","N","Y"
"889737","28480","5222","HAHN & COMPANY I L.P.","805-8837693693","","Cayman Islands","N","Y"
"893834","59330","11967","CEPHEI QFII CHINA ABSOLUTE RETURN US FEEDER FUND LTD.","805-9352776299","","Cayman Islands","N","Y"
"893834","59330","11966","CEPHEI QFII CHINA ABSOLUTE RETURN OFFSHORE FEEDER FUND LTD.","805-5148055909","","Cayman Islands","N","Y"
"893834","51003","9805","CDH FUND V FEEDER, L.P.","805-1406487444","","Cayman Islands","N","Y"
"893834","43597","7902","CDH FUND IV FEEDER, L.P.","805-1684919112","","Cayman Islands","N","Y"
"893834","43596","7901","CDH SUPPLEMENTARY FUND III FEEDER, L.P.","805-3033562214","","Cayman Islands","N","Y"
"893834","43595","7900","CDH CHINA FUND III FEEDER, L.P.","805-2899417443","","Cayman Islands","N","Y"
"893834","43594","7899","CDH CHINA GROWTH CAPITAL FUND II INVESTORS, L.P.","805-5627454529","","Cayman Islands","N","Y"
"889002","44017","7981","LRV CAPITAL PARTNERS LP","805-1196671218","Delaware","United States","N","Y"
"889002","44017","7980","LRV CAPITAL FUND LTD.","805-5630213376","","Cayman Islands","N","Y"
"897054","20652","4014","CORRIENTE CHINA OPPORTUNITY OFFSHORE PARTNERS II, L.P.","805-9283088575","","Cayman Islands","N","Y"
"897054","20652","4013","CORRIENTE CHINA OPPORTUNITY PARTNERS II, L.P.","805-4976341556","Delaware","United States","N","Y"
"888299","70083","14336","BENSELL US FEEDER IV, L.P.","805-4698605204","","United Kingdom","N","Y"
"888299","70083","14337","BENSELL SPECIAL LIMITED PARTNER IV, L.P.","805-2865640787","","United Kingdom","N","Y"
"888299","34398","10055","BENSELL SPECIAL LIMITED PARTNER, LP","805-2490099280","","United Kingdom","N","Y"
"888299","35960","6658","BENSON ELLIOT STRATEGIC PARTNERS III, LP","805-4806358924","","United Kingdom","N","Y"
"888299","35960","6657","BENSELL US FEEDER III, LP","805-9429376678","","United Kingdom","N","Y"
"888299","34398","6400","BENSON ELLIOT STRATEGIC PARTNERS, LP","805-7807682721","","United Kingdom","N","Y"
"888299","34398","6397","BENSELL US FEEDER, LP","805-1227903033","","United Kingdom","N","Y"
"897540","40654","10855","DL PARTNERS OPPORTUNITIES FUND LP","805-6995939471","Delaware","United States","N","Y"
"897540","40654","10856","DL PARTNERS OPPORTUNITIES FUND LTD","805-9675988244","","Cayman Islands","N","Y"
"892808","19643","3865","HORIZON PORTFOLIO L.P.","805-8977552517","Delaware","United States","N","Y"
"892808","19643","3864","HORIZON PORTFOLIO I LIMITED","805-9556933960","","Cayman Islands","N","Y"
"877365","43558","7893","ADHIA ARBITRAGE ONSHORE FUND, LP","805-9844186202","Delaware","United States","N","Y"
"898944","64976","13264","KANG GLOBAL FUND LP","805-9383497191","Delaware","United States","N","Y"
"882068","27587","5085","RIVERLOFT OFFSHORE FUND, LTD.","805-1243543352","","Cayman Islands","N","Y"
"882068","27587","5084","RIVERLOFT CAPITAL PARTNERS, LP","805-7296045100","Delaware","United States","N","Y"
