"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
"1001299","16587","J.P. MORGAN SECURITIES LLC","8-35008","79","NEW YORK","New York","United States","Y"
"1001299","16590","CITIGROUP GLOBAL MARKETS LIMITED","","","LONDON","","United Kingdom","Y"
"1001299","16590","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"1001299","46768","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"1001299","44749","DEUTSCHE BANK AG LONDON BRANCH","","","LONDON","","United Kingdom","Y"
"1001299","16587","BARCLAYS BANK PLC","","","LONDON","","United Kingdom","Y"
"1001299","46768","CITIGROUP GLOBAL MARKETS INC.","8-8177","7059","NEW YORK","New York","United States","Y"
"1001299","46767","DEUTSCHE BANK AG LONDON BRANCH","","","LONDON","","United Kingdom","Y"
"1001299","46767","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"1001299","16590","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","NEW YORK","New York","United States","Y"
"1001299","16587","DEUTSCHE BANK AG LONDON BRANCH","","","LONDON","","United Kingdom","Y"
"1001299","16590","DEUTSCHE BANK AG LONDON BRANCH","","","LONDON","","United Kingdom","Y"
"1001299","64335","DEUTSCHE BANK SECURITIES INC.","8-17822","2525","NEW YORK","New York","United States","Y"
"1001299","64335","DEUTSCHE BANK AG LONDON BRANCH","","","LONDON","","United Kingdom","Y"
"1001299","64335","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"1001299","64335","MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"1001299","64335","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"1001299","64335","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"1001299","16598","BARCLAYS BANK PLC","","","LONDON","","United Kingdom","Y"
"1001299","16598","BARCLAYS CAPITAL SECURITIES LIMITED","","","LONDON","","United Kingdom","Y"
"1001299","16590","MERRILL LYNCH PROFESSIONAL CLEARING CORP.","8-33359","16139","NEW YORK","New York","United States","Y"
"1001299","16590","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"1001299","16590","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
